Panel	SGDP_ID	Population_ID	Region	Country	Contributor	Gender	Latitude	Longitude	Coverage	HetRateAuto													
C	S_Sindhi-2	Sindhi	SouthAsia	Pakistan	Howard Cann	F	25.5	69.0	37	0.00075													
C	S_Yadava-1	Yadava	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	53	0.00072													
C	S_Yadava-2	Yadava	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	48	0.00074													
C	S_Abkhasian-1	Abkhasian	WestEurasia	Abkhazia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	43.003	41.015	36	0.00073													
C	S_Abkhasian-2	Abkhasian	WestEurasia	Russia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	43.003	41.015	37	0.00073													
C	S_Adygei-1	Adygei	WestEurasia	Russia(Caucasus)	Howard Cann	M	44.0	39.0	40	0.00073													
C	S_Adygei-2	Adygei	WestEurasia	Russia(Caucasus)	Howard Cann	F	44.0	39.0	33	0.00073													
C	S_Albanian-1	Albanian	WestEurasia	Albania	David Comas	F	41.3	19.8	34	0.00072													
C	S_Armenian-1	Armenian	WestEurasia	Armenia	Mait Metspalu/ Levon Yepiskoposyan / Hovhannes Sahakyan	M	39.815	46.752	38	0.00073													
C	S_Armenian-2	Armenian	WestEurasia	Armenia	Mait Metspalu/ Levon Yepiskoposyan / Hovhannes Sahakyan	M	40.605	43.101	44	0.00077													
C	S_Basque-1	Basque	WestEurasia	France	Howard Cann	M	43.0	0.0	40	0.00072													
C	S_Basque-2	Basque	WestEurasia	France	Howard Cann	F	43.0	0.0	36	0.00071													
C	S_BedouinB-1	BedouinB	WestEurasia	Israel(Negev)	Howard Cann	M	31.0	35.0	42	0.00069													
C	S_BedouinB-2	BedouinB	WestEurasia	Israel(Negev)	Howard Cann	F	31.0	35.0	40	0.00074													
C	S_Bergamo-2	Bergamo	WestEurasia	Italy(Bergamo)	Howard Cann	F	46.0	10.0	62	0.00072													
C	S_Bulgarian-1	Bulgarian	WestEurasia	Bulgaria	Mait Metspalu / Draga Toncheva / Sena Karachanak-Yankova	M	42.163	24.741	40	0.00074													
C	S_Bulgarian-2	Bulgarian	WestEurasia	Bulgaria	Mait Metspalu / Draga Toncheva / Sena Karachanak-Yankova	M	42.163	24.741	36	0.00073													
C	S_Chechen-1	Chechen	WestEurasia	Russia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	43.333	45.650	41	0.00073													
C	S_Czech-2	Czech	WestEurasia	Czechoslovia(pre1989)	Coriell	M	50.1	14.4	47	0.00072													
C	S_Druze-1	Druze	WestEurasia	Israel(Carmel)	Howard Cann	F	32.0	35.0	47	0.00074													
C	S_Druze-2	Druze	WestEurasia	Israel(Carmel)	Howard Cann	M	32.0	35.0	42	0.0007													
C	S_English-1	English	WestEurasia	England	1KG	M	51.2	0.7	40	0.00071													
C	S_English-2	English	WestEurasia	England	1KG	F	51.2	0.7	43	0.00072													
C	S_Estonian-1	Estonian	WestEurasia	Estonia	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	58.386	24.502	37	0.00072													
C	S_Estonian-2	Estonian	WestEurasia	Estonia	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	58.985	26.864	34	0.00072													
C	S_Finnish-1	Finnish	WestEurasia	Finland	1KG	F	60.2	24.9	36	0.00072													
C	S_Finnish-2	Finnish	WestEurasia	Finland	1KG	M	60.2	24.9	34	0.00072													
C	S_Finnish-3	Finnish	WestEurasia	Finland	1KG	M	60.2	24.9	43	0.00072													
B	B_French-3	French	WestEurasia	France	Howard Cann	M	46	2	42	0.00073													
C	S_French-1	French	WestEurasia	France	Howard Cann	M	46.0	2.0	41	0.0007													
C	S_French-2	French	WestEurasia	France	Howard Cann	F	46.0	2.0	27	0.00072													
C	S_Georgian-1	Georgian	WestEurasia	Georgia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	42.500	41.850	41	0.00074													
